Player_Name,Team,Matches,Inns,Overs,Maidens,Runs,Wickets,Average,Economy,Strike_Rate,4W,5W
SC Kuggeleijn,(St Lucia Zouks),11,11,34.1,1,266,17,15.64,7.78,12,1,0
Mujeeb Ur Rahman,(Jamaica Tallawahs),11,11,41,1,217,16,13.56,5.29,15.3,0,0
Imran Tahir,(Guyana Amazon Warriors),11,11,41,2,239,15,15.93,5.82,16.4,0,0
Fawad Ahmed,(Trinbago Knight Riders),11,11,36,1,236,13,18.15,6.55,16.6,1,0
KOK Williams,(St Lucia Zouks),12,11,34.1,0,305,13,23.46,8.92,15.7,0,0
Mohammad Nabi,(St Lucia Zouks),12,12,40,1,204,12,17,5.1,20,0,1
S Lamichhane,(Jamaica Tallawahs),11,10,40,1,211,12,17.58,5.27,20,0,0
RR Emrit,(St Kitts and Nevis Patriots),10,9,32,1,191,11,17.36,5.96,17.4,0,0
Naveen-ul-Haq,(Guyana Amazon Warriors),10,10,32.4,1,210,11,19.09,6.42,17.8,1,0
Rashid Khan,(Barbados Tridents),10,10,36.2,1,249,11,22.63,6.85,19.8,0,0
AJ Hosein,(Trinbago Knight Riders),7,7,27,1,150,10,15,5.55,16.2,0,0
JO Holder,(Barbados Tridents),10,10,33,4,219,10,21.9,6.63,19.8,0,0
CR Brathwaite,(Jamaica Tallawahs),11,10,30.2,1,249,10,24.9,8.2,18.2,0,0
RL Chase,(St Lucia Zouks),11,9,29,0,135,9,15,4.65,19.3,0,0
CJ Green,(Guyana Amazon Warriors),11,11,37.3,3,213,9,23.66,5.68,25,0,0
KMA Paul,(Guyana Amazon Warriors),10,9,29.2,0,215,9,23.88,7.32,19.5,1,0
K Pierre,(Trinbago Knight Riders),10,10,32.1,0,215,9,23.88,6.68,21.4,0,0
FH Edwards,(Jamaica Tallawahs),9,9,30,1,230,9,25.55,7.66,20,0,0
DJ Bravo,(Trinbago Knight Riders),10,9,32,0,240,9,26.66,7.5,21.3,0,0
JNT Seales,(Trinbago Knight Riders),6,6,13,0,143,8,17.87,11,9.7,0,0
Ali Khan,(Trinbago Knight Riders),8,8,20.1,1,150,8,18.75,7.43,15.1,0,0
KA Pollard,(Trinbago Knight Riders),11,6,20,0,151,8,18.87,7.55,15,1,0
Zahir Khan,(St Lucia Zouks),7,7,23.4,0,164,8,20.5,6.92,17.7,0,0
RA Reifer,(Barbados Tridents),9,9,20,0,174,8,21.75,8.7,15,0,0
J Glen,(St Lucia Zouks),8,5,10,0,59,7,8.42,5.9,8.5,0,0
Sikandar Raza,(Trinbago Knight Riders),7,7,17,0,110,7,15.71,6.47,14.5,0,0
HR Walsh,(Barbados Tridents),10,8,23,1,176,7,25.14,7.65,19.7,0,0
SP Narine,(Trinbago Knight Riders),5,5,20,1,91,6,15.16,4.55,20,0,0
MJ Santner,(Barbados Tridents),9,8,24.4,2,138,6,23,5.59,24.6,0,0
R Shepherd,(Guyana Amazon Warriors),8,7,19,1,139,6,23.16,7.31,19,0,0
JL Jaggesar,(St Kitts and Nevis Patriots),9,8,30,0,199,6,33.16,6.63,30,0,0
K Sinclair,(Guyana Amazon Warriors),5,4,14,0,61,5,12.2,4.35,16.8,0,0
I Khan,(St Kitts and Nevis Patriots),7,5,16,2,99,5,19.8,6.18,19.2,0,0
V Permaul,(Jamaica Tallawahs),6,6,19.4,1,128,5,25.6,6.5,23.6,0,0
Sohail Tanvir,(St Kitts and Nevis Patriots),5,5,16,0,148,5,29.6,9.25,19.2,0,0
SS Cottrell,(St Kitts and Nevis Patriots),7,6,21,1,174,5,34.8,8.28,25.2,0,0
M Deyal,(St Lucia Zouks),10,5,6,0,29,3,9.66,4.83,12,0,0
PV Tambe,(Trinbago Knight Riders),3,3,9,1,36,3,12,4,18,0,0
DC Drakes,(St Kitts and Nevis Patriots),2,2,7,0,63,3,21,9,14,0,0
AR Nedd,(Guyana Amazon Warriors),4,4,15,1,73,3,24.33,4.86,30,0,0
CK Holder,(St Lucia Zouks),3,3,8,0,86,3,28.66,10.75,16,0,0
AD Russell,(Jamaica Tallawahs),9,5,13,0,115,3,38.33,8.84,26,0,0
AS Joseph,(St Kitts and Nevis Patriots),7,5,17,0,158,3,52.66,9.29,34,0,0
OF Smith,(Guyana Amazon Warriors),1,1,4,0,33,2,16.5,8.25,12,0,0
J Bishop,(Barbados Tridents),2,2,7,0,47,2,23.5,6.71,21,0,0
RRS Cornwall,(St Lucia Zouks),10,4,8.5,0,56,2,28,6.33,26.5,0,0
KR Mayers,(Barbados Tridents),9,3,7,0,62,2,31,8.85,21,0,0
AR Nurse,(Barbados Tridents),10,6,13,0,75,2,37.5,5.76,39,0,0
IS Sodhi,(St Kitts and Nevis Patriots),5,5,17.3,0,159,2,79.5,9.08,52.5,0,0
C Hemraj,(Guyana Amazon Warriors),8,3,4,0,25,1,25,6.25,24,0,0
A Phillip,(Trinbago Knight Riders),2,2,4.2,0,27,1,27,6.23,26,0,0
DJG Sammy,(St Lucia Zouks),12,2,3,0,28,1,28,9.33,18,0,0
BR Dunk,(St Kitts and Nevis Patriots),10,1,2.4,0,29,1,29,10.87,16,0,0
PAS McSween,(Jamaica Tallawahs),1,1,3,0,39,1,39,13,18,0,0
O Thomas,(Jamaica Tallawahs),3,3,7,0,78,1,78,11.14,42,0,0
OC McCoy,(St Lucia Zouks),4,4,10.5,0,100,1,100,9.23,65,0,0
